=== TIME PROBES ===
Time probes,Node,Type,N,Avg,Std dev,Min,Max
Probe: Hub_preparation,Hub_preparation,Temps de traitement,239,1.000,0.000,1.000,1.000

=== OPERATOR MOVEMENTS SUMMARY STATISTICS ===
Operator,Route,Measurement_count,Average,Std_dev,Min,Max
Operator_2,Inflating_station_1→Inflating_station_2,188,5.000,0.000,5.000,5.000
Operator_2,Inflating_station_2→Inflating_station_1,188,5.000,0.000,5.000,5.000


=== DETAILED MEASUREMENTS ===
Measurement_#,Value_Probe: Hub_preparation
1,1.000
2,1.000
3,1.000
4,1.000
5,1.000
6,1.000
7,1.000
8,1.000
9,1.000
10,1.000
11,1.000
12,1.000
13,1.000
14,1.000
15,1.000
16,1.000
17,1.000
18,1.000
19,1.000
20,1.000
21,1.000
22,1.000
23,1.000
24,1.000
25,1.000
26,1.000
27,1.000
28,1.000
29,1.000
30,1.000
31,1.000
32,1.000
33,1.000
34,1.000
35,1.000
36,1.000
37,1.000
38,1.000
39,1.000
40,1.000
41,1.000
42,1.000
43,1.000
44,1.000
45,1.000
46,1.000
47,1.000
48,1.000
49,1.000
50,1.000
51,1.000
52,1.000
53,1.000
54,1.000
55,1.000
56,1.000
57,1.000
58,1.000
59,1.000
60,1.000
61,1.000
62,1.000
63,1.000
64,1.000
65,1.000
66,1.000
67,1.000
68,1.000
69,1.000
70,1.000
71,1.000
72,1.000
73,1.000
74,1.000
75,1.000
76,1.000
77,1.000
78,1.000
79,1.000
80,1.000
81,1.000
82,1.000
83,1.000
84,1.000
85,1.000
86,1.000
87,1.000
88,1.000
89,1.000
90,1.000
91,1.000
92,1.000
93,1.000
94,1.000
95,1.000
96,1.000
97,1.000
98,1.000
99,1.000
100,1.000
101,1.000
102,1.000
103,1.000
104,1.000
105,1.000
106,1.000
107,1.000
108,1.000
109,1.000
110,1.000
111,1.000
112,1.000
113,1.000
114,1.000
115,1.000
116,1.000
117,1.000
118,1.000
119,1.000
120,1.000
121,1.000
122,1.000
123,1.000
124,1.000
125,1.000
126,1.000
127,1.000
128,1.000
129,1.000
130,1.000
131,1.000
132,1.000
133,1.000
134,1.000
135,1.000
136,1.000
137,1.000
138,1.000
139,1.000
140,1.000
141,1.000
142,1.000
143,1.000
144,1.000
145,1.000
146,1.000
147,1.000
148,1.000
149,1.000
150,1.000
151,1.000
152,1.000
153,1.000
154,1.000
155,1.000
156,1.000
157,1.000
158,1.000
159,1.000
160,1.000
161,1.000
162,1.000
163,1.000
164,1.000
165,1.000
166,1.000
167,1.000
168,1.000
169,1.000
170,1.000
171,1.000
172,1.000
173,1.000
174,1.000
175,1.000
176,1.000
177,1.000
178,1.000
179,1.000
180,1.000
181,1.000
182,1.000
183,1.000
184,1.000
185,1.000
186,1.000
187,1.000
188,1.000
189,1.000
190,1.000
191,1.000
192,1.000
193,1.000
194,1.000
195,1.000
196,1.000
197,1.000
198,1.000
199,1.000
200,1.000
201,1.000
